"utc","working_set_bytes","peak_working_set_bytes","private_memory_bytes"
"2026-07-21T07:29:32.2982532Z","301707264","301707264","431628288"
"2026-07-21T07:29:32.4092698Z","301715456","301715456","431628288"
"2026-07-21T07:29:32.5293325Z","301715456","301715456","431628288"
"2026-07-21T07:29:32.6456880Z","301715456","301715456","431628288"
"2026-07-21T07:29:32.7557867Z","301719552","301719552","431628288"
"2026-07-21T07:29:32.8658756Z","301719552","301719552","431628288"
"2026-07-21T07:29:32.9784173Z","301719552","301719552","431628288"
"2026-07-21T07:29:33.1032720Z","301723648","301723648","431628288"
"2026-07-21T07:29:33.2312086Z","301723648","301723648","431628288"
"2026-07-21T07:29:33.3561093Z","301727744","301727744","431628288"
"2026-07-21T07:29:33.4807794Z","301727744","301727744","431628288"
"2026-07-21T07:29:33.6038082Z","301731840","301731840","431628288"
"2026-07-21T07:29:33.7134138Z","301731840","301731840","431628288"
"2026-07-21T07:29:33.8400333Z","301731840","301731840","431628288"
"2026-07-21T07:29:33.9662700Z","301744128","301744128","431628288"
"2026-07-21T07:29:34.0938510Z","301748224","301748224","431628288"
"2026-07-21T07:29:34.2182100Z","301748224","301748224","431628288"
"2026-07-21T07:29:34.3317964Z","301748224","301748224","431628288"
"2026-07-21T07:29:34.4563269Z","301756416","301756416","431628288"
"2026-07-21T07:29:34.5659131Z","301760512","301760512","431628288"
"2026-07-21T07:29:34.6743794Z","301764608","301764608","431628288"
"2026-07-21T07:29:34.7979719Z","301764608","301764608","431628288"
"2026-07-21T07:29:34.9222361Z","301764608","301764608","431628288"
"2026-07-21T07:29:35.0479219Z","301764608","301764608","431628288"
"2026-07-21T07:29:35.1581478Z","301764608","301764608","431628288"
"2026-07-21T07:29:35.2673123Z","301764608","301764608","431628288"
"2026-07-21T07:29:35.3913614Z","301764608","301764608","431628288"
"2026-07-21T07:29:35.5023546Z","301764608","301764608","431628288"
"2026-07-21T07:29:35.6112579Z","301764608","301764608","431628288"
"2026-07-21T07:29:35.7343624Z","301768704","301768704","431628288"
"2026-07-21T07:29:35.8595737Z","301772800","301772800","431628288"
"2026-07-21T07:29:35.9852371Z","302022656","302022656","431906816"
"2026-07-21T07:29:36.1088538Z","302301184","302301184","432308224"
"2026-07-21T07:29:36.2327464Z","302305280","302305280","432308224"
"2026-07-21T07:29:36.3596585Z","302309376","302309376","432308224"
"2026-07-21T07:29:36.4703552Z","302309376","302309376","432308224"
"2026-07-21T07:29:36.5805980Z","302309376","302309376","432308224"
"2026-07-21T07:29:36.6898507Z","302313472","302313472","432308224"
"2026-07-21T07:29:36.8000135Z","302317568","302317568","432308224"
"2026-07-21T07:29:36.9092154Z","302317568","302317568","432308224"
"2026-07-21T07:29:37.0197962Z","303181824","306114560","432971776"
"2026-07-21T07:29:37.1295034Z","270688256","306114560","377135104"
